1436616727.128715000	705	10.61.22.158	10.240.16.251	1299	80	88896118	0	0x00000002	0
1436616727.171677000	1016	10.61.22.158	10.240.16.251	1299	80	88896118	0	0x00000002	0
1436616727.172069000	1016	10.240.16.251	10.61.22.158	80	1299	2990712339	88896119	0x00000012	0
1436616727.199207000	705	10.240.16.251	10.61.22.158	80	1299	2990712339	88896119	0x00000012	0
1436616727.201528000	705	10.61.22.158	10.240.16.251	1299	80	88896119	2990712340	0x00000010	0
1436616727.237871000	1016	10.61.22.158	10.240.16.251	1299	80	88896119	2990712340	0x00000010	0
1436616728.535811000	705	10.61.22.158	10.240.16.251	1299	80	88896119	2990712340	0x00000018	861
1436616728.535819000	1016	10.61.22.158	10.240.16.251	1299	80	88896119	2990712340	0x00000018	861
1436616728.536384000	1016	10.240.16.251	10.61.22.158	80	1299	2990712340	88896980	0x00000010	0
1436616728.536406000	705	10.240.16.251	10.61.22.158	80	1299	2990712340	88896980	0x00000010	0
1436616728.537590000	1016	10.240.16.251	10.61.22.158	80	1299	2990712340	88896980	0x00000018	1460
1436616728.537594000	1016	10.240.16.251	10.61.22.158	80	1299	2990713800	88896980	0x00000018	1460
1436616728.537607000	705	10.240.16.251	10.61.22.158	80	1299	2990712340	88896980	0x00000018	1460
1436616728.537610000	705	10.240.16.251	10.61.22.158	80	1299	2990713800	88896980	0x00000018	1460
1436616728.537966000	1016	10.240.16.251	10.61.22.158	80	1299	2990715260	88896980	0x00000018	1460
1436616728.537976000	705	10.240.16.251	10.61.22.158	80	1299	2990715260	88896980	0x00000018	1460
1436616728.553271000	705	10.61.22.158	10.240.16.251	1299	80	88896980	2990716720	0x00000010	0
1436616728.553275000	1016	10.61.22.158	10.240.16.251	1299	80	88896980	2990716720	0x00000010	0
1436616728.553589000	1016	10.240.16.251	10.61.22.158	80	1299	2990716720	88896980	0x00000010	1460
1436616728.553594000	1016	10.240.16.251	10.61.22.158	80	1299	2990718180	88896980	0x00000010	1460
1436616728.553597000	1016	10.240.16.251	10.61.22.158	80	1299	2990719640	88896980	0x00000010	1460
1436616728.553599000	1016	10.240.16.251	10.61.22.158	80	1299	2990721100	88896980	0x00000010	1460
1436616728.553603000	1016	10.240.16.251	10.61.22.158	80	1299	2990722560	88896980	0x00000010	1460
